saleprice,id,half_bath,gr_liv_area,lot_area,neighborhood,overall_qual,fireplace_qu,heating_qc,mas_vnr_area,year_built,porch_space,garage_total,bsmt_total
130500,109,1,1479,13517,2,6,0.0,5.0,289.0,86,44,40850.0,0.0
220000,544,1,2122,11492,2,7,3.0,5.0,132.0,106,74,59813.0,913.0
109000,153,0,1057,7922,2,5,0.0,3.0,0.0,63,52,15498.0,1057.0
174000,318,1,1444,9802,2,5,0.0,4.0,0.0,116,100,46800.0,0.0
138500,255,0,1445,14235,2,6,0.0,3.0,0.0,10,59,32428.0,0.0
190000,138,1,1888,16492,2,6,4.0,5.0,0.0,76,0,43928.0,0.0
140000,2827,0,1072,3675,2,6,0.0,4.0,82.0,115,44,60375.0,547.0
142000,145,0,1188,12160,2,5,0.0,2.0,180.0,69,0,36639.0,1188.0
112500,1942,0,924,15783,2,5,0.0,3.0,0.0,62,324,26040.0,0.0
135000,1956,2,2080,11606,2,5,3.0,3.0,192.0,79,335,39816.0,0.0
85400,1044,1,987,1680,1,6,0.0,3.0,232.0,81,0,21384.0,0.0
183600,2752,0,1208,7488,2,7,0.0,5.0,0.0,115,163,72680.0,0.0
131000,807,0,2016,26400,2,5,3.0,5.0,0.0,-10,0,5760.0,0.0
200000,1177,1,1607,2645,2,8,0.0,5.0,456.0,109,169,52800.0,960.0
193000,1480,0,1361,9627,2,7,0.0,5.0,0.0,117,50,71370.0,0.0
173500,324,0,1430,10114,2,5,0.0,5.0,0.0,114,0,71136.0,0.0
98000,1311,0,1344,4571,2,5,0.0,2.0,0.0,26,96,13338.0,0.0
139000,770,0,1121,8816,2,5,0.0,3.0,0.0,73,80,35040.0,1121.0
143500,2063,1,1285,8197,2,6,3.0,5.0,148.0,87,138,45936.0,0.0
215200,69,1,1547,8640,2,7,0.0,5.0,0.0,119,214,73066.0,0.0
129000,2062,0,894,8724,2,5,1.0,4.0,0.0,78,0,35100.0,0.0
278000,351,0,1659,5664,3,8,5.0,5.0,0.0,110,271,54890.0,1501.0
344133,2393,1,2253,12867,3,8,4.0,5.0,0.0,115,385,66125.0,0.0
185000,12,0,1187,7980,2,6,0.0,5.0,0.0,102,504,42840.0,1168.0
145000,2339,0,1056,34650,2,5,0.0,3.0,0.0,65,264,37180.0,1056.0
187500,624,0,1453,10573,2,6,3.0,5.0,3.0,71,337,37630.0,1453.0
138500,86,0,894,8450,2,5,4.0,5.0,0.0,75,560,27888.0,894.0
198000,1534,0,1938,11700,2,5,4.0,5.0,0.0,47,40,11280.0,0.0
119600,2243,0,1991,8250,1,5,0.0,2.0,0.0,5,133,0.0,0.0
122900,1957,0,924,8064,2,5,1.0,5.0,0.0,59,0,65088.0,0.0
278000,380,1,2524,9600,2,8,4.0,3.0,0.0,91,594,49322.0,2524.0
230000,2860,0,1517,11435,2,8,4.0,2.0,0.0,39,0,16400.0,0.0
270000,2517,1,1494,9549,2,8,4.0,5.0,0.0,105,246,50505.0,1494.0
125000,1933,0,948,10950,2,6,0.0,3.0,0.0,62,48,25420.0,0.0
297000,820,0,1718,10637,2,8,4.0,5.0,336.0,117,252,96642.0,1705.0
113500,675,0,1142,9000,2,6,4.0,2.0,82.0,68,92,26112.0,0.0
127000,2910,0,1475,2665,1,5,3.0,5.0,0.0,87,130,29232.0,0.0
190000,21,0,1844,11751,2,6,3.0,5.0,480.0,87,122,47502.0,0.0
175500,1873,1,1242,9600,2,7,3.0,2.0,320.0,83,0,43824.0,0.0
146000,2125,0,990,8428,2,5,0.0,5.0,0.0,104,256,40320.0,990.0
147500,1489,1,1256,9937,2,5,0.0,4.0,0.0,75,804,20700.0,1256.0
465000,2383,1,2076,13891,3,10,4.0,5.0,0.0,116,445,98600.0,2076.0
165500,983,0,1110,9101,2,5,3.0,5.0,104.0,88,333,52976.0,1097.0
131500,1325,0,1795,12150,2,5,0.0,5.0,335.0,64,0,22528.0,0.0
129500,1378,0,1040,11200,2,5,0.0,5.0,0.0,75,0,28800.0,1040.0
257076,1537,1,1873,9670,2,8,4.0,3.0,40.0,45,207,35370.0,0.0
117000,905,0,1604,10998,2,5,0.0,5.0,0.0,51,68,57420.0,0.0
149000,1532,1,1502,7200,2,7,4.0,3.0,0.0,41,112,11070.0,0.0
128000,132,0,1063,9920,2,5,0.0,3.0,110.0,64,164,17920.0,1056.0
155000,1078,1,1626,2448,3,7,0.0,5.0,106.0,113,27,53562.0,0.0
166000,2511,1,1524,2998,2,6,0.0,5.0,513.0,110,32,48400.0,0.0
135000,912,0,1981,7804,2,4,3.0,3.0,0.0,38,475,52416.0,1122.0
250000,2351,1,2784,16692,2,7,3.0,3.0,184.0,88,552,49632.0,1392.0
76000,330,1,1092,1476,1,4,0.0,5.0,0.0,80,226,0.0,0.0
155000,2586,1,1575,10170,2,6,4.0,3.0,522.0,61,0,24400.0,0.0
158000,224,1,1352,9364,2,6,0.0,3.0,143.0,79,415,23621.0,0.0
149500,98,1,1200,2544,2,7,0.0,5.0,0.0,114,172,54720.0,600.0
121000,2565,0,936,9888,2,5,0.0,3.0,0.0,64,160,15360.0,0.0
136000,1934,0,1040,7942,2,6,0.0,3.0,0.0,63,0,18459.0,0.0
173000,997,1,1636,15038,2,6,3.0,4.0,0.0,106,252,40916.0,0.0
290000,64,1,2270,11764,3,8,4.0,5.0,348.0,109,189,73139.0,0.0
303477,1799,1,2610,9000,2,8,4.0,5.0,0.0,117,572,64350.0,0.0
270000,230,1,1483,20062,2,7,3.0,4.0,0.0,87,496,60030.0,1420.0
122250,1295,0,1740,7308,2,5,4.0,4.0,0.0,30,236,6750.0,0.0
153000,638,0,1382,8750,2,5,0.0,4.0,0.0,65,280,22750.0,0.0
147000,2278,0,1120,8402,2,5,0.0,5.0,0.0,117,30,0.0,0.0
148500,2202,0,1098,4000,2,7,4.0,3.0,0.0,40,0,8640.0,531.0
130000,2833,0,1708,3363,2,7,0.0,5.0,117.0,114,40,43320.0,0.0
372000,1707,1,1802,13615,3,9,4.0,5.0,510.0,116,263,97788.0,0.0
213490,2428,0,1506,3013,2,7,4.0,5.0,145.0,115,162,50600.0,0.0
308030,242,0,1508,17485,2,7,3.0,5.0,96.0,119,0,68068.0,1508.0
300000,1564,0,2032,23730,2,7,0.0,5.0,668.0,106,238,83316.0,1840.0
159500,2613,0,1194,8910,2,6,2.0,5.0,0.0,69,192,34496.0,0.0
137500,2832,0,1709,2522,2,7,0.0,5.0,50.0,114,40,43320.0,0.0
232000,2459,0,1616,8688,2,7,0.0,5.0,228.0,115,267,95910.0,0.0
93850,1360,0,768,6291,1,6,0.0,3.0,0.0,40,84,17600.0,0.0
105000,2723,0,872,17529,2,5,4.0,2.0,65.0,34,116,10948.0,0.0
68500,1350,0,520,6324,2,4,0.0,2.0,0.0,37,136,7200.0,0.0
154300,136,0,2274,11600,2,5,0.0,3.0,361.0,70,0,33600.0,0.0
129850,2235,0,1601,7288,1,5,0.0,5.0,0.0,35,176,0.0,0.0
114000,1993,0,1232,4571,2,5,0.0,5.0,0.0,20,423,14400.0,0.0
501837,367,0,2234,17423,3,9,4.0,5.0,748.0,118,60,138754.0,2216.0
153900,1309,1,1416,12665,2,5,4.0,4.0,0.0,25,612,42480.0,0.0
130000,402,0,864,9000,2,4,0.0,4.0,0.0,81,200,55296.0,0.0
160500,1592,0,1189,4500,2,6,0.0,5.0,197.0,107,122,41944.0,1189.0
310090,2409,0,1666,6373,3,9,4.0,5.0,572.0,116,303,66700.0,1666.0
184900,539,0,1200,10083,2,7,0.0,5.0,0.0,113,41,62715.0,1176.0
132000,1940,0,928,13300,2,5,0.0,3.0,0.0,66,417,16632.0,0.0
163000,588,0,1336,9600,2,5,2.0,3.0,128.0,79,323,39658.0,0.0
155000,96,1,1200,3215,2,7,0.0,5.0,120.0,114,172,54720.0,0.0
183000,1187,0,1427,11104,2,6,0.0,4.0,0.0,79,216,40764.0,0.0
211000,2154,1,1992,15295,2,7,3.0,5.0,254.0,106,257,64448.0,860.0
184000,550,1,1540,9109,2,7,0.0,5.0,0.0,104,172,51480.0,754.0
118858,811,0,1535,7018,2,5,0.0,3.0,0.0,89,0,35600.0,0.0
180500,124,0,1152,14112,2,5,4.0,3.0,86.0,74,227,35816.0,1152.0
166000,1836,0,1151,3523,2,8,0.0,5.0,30.0,116,60,56144.0,1141.0
148000,779,0,1138,15312,2,6,3.0,5.0,54.0,70,140,33600.0,0.0
124000,1886,0,1074,7450,2,5,4.0,4.0,0.0,66,72,30096.0,0.0
277500,1724,0,1561,7313,3,9,4.0,5.0,246.0,115,250,63940.0,1561.0
350000,2450,1,2726,10019,3,8,5.0,5.0,397.0,105,644,76125.0,0.0
387000,1013,0,1884,15401,3,9,4.0,5.0,296.0,114,290,76380.0,1884.0
86000,2084,0,605,9098,2,4,0.0,5.0,0.0,30,144,0.0,528.0
290000,1184,0,1671,16280,2,8,4.0,5.0,0.0,86,370,47300.0,1426.0
44000,728,0,797,9392,1,3,0.0,3.0,0.0,10,130,0.0,0.0
215000,950,1,1961,12209,2,6,3.0,5.0,0.0,111,317,62160.0,804.0
146500,2524,0,1193,13110,2,5,0.0,5.0,144.0,82,293,41082.0,1153.0
165000,2513,1,1382,2651,2,7,0.0,5.0,0.0,110,203,53900.0,673.0
136000,2028,0,2526,8520,2,6,4.0,3.0,0.0,26,103,5616.0,0.0
252000,2309,1,1390,39384,2,6,4.0,5.0,902.0,67,189,36850.0,1705.0
175500,51,1,1626,2628,3,7,0.0,5.0,106.0,113,27,53562.0,0.0
150000,699,1,1558,6406,2,5,4.0,3.0,0.0,49,218,19600.0,0.0
139900,1881,0,1422,12342,2,5,3.0,3.0,0.0,70,36,20020.0,0.0
162900,1345,0,1573,6240,2,5,4.0,3.0,0.0,40,0,14400.0,0.0
160000,166,1,1116,10000,2,6,0.0,3.0,261.0,72,385,31680.0,0.0
63900,781,0,660,9000,2,2,0.0,2.0,0.0,57,100,0.0,0.0
184000,379,0,1707,11088,2,6,3.0,4.0,144.0,88,0,42152.0,0.0
149900,2818,1,1466,17755,2,5,4.0,3.0,132.0,69,240,36432.0,0.0
300000,1168,0,1638,4765,2,9,3.0,5.0,260.0,110,298,54450.0,1614.0
145000,1396,0,1721,10532,2,5,3.0,4.0,275.0,70,134,43820.0,988.0
231500,838,1,1764,15426,2,6,0.0,5.0,0.0,107,375,50290.0,928.0
108000,1492,0,996,13907,2,5,4.0,5.0,0.0,50,144,0.0,996.0
120000,637,0,1202,8750,2,5,0.0,3.0,0.0,66,155,20064.0,0.0
128500,1826,0,988,9945,2,5,0.0,3.0,57.0,71,0,41756.0,988.0
115000,173,0,1028,8960,2,5,4.0,4.0,0.0,37,130,13320.0,0.0
110000,715,1,1284,3500,2,5,0.0,3.0,0.0,57,35,13920.0,0.0
150000,1183,2,2944,24572,2,9,4.0,3.0,1050.0,87,226,75168.0,0.0
178000,2433,1,1414,9056,2,8,4.0,5.0,0.0,114,135,45942.0,0.0
199500,2866,1,1609,12320,2,7,4.0,5.0,0.0,42,104,42267.0,0.0
183500,2311,1,1525,8238,2,6,3.0,5.0,0.0,107,493,42800.0,813.0
126000,1551,1,1656,6000,1,5,1.0,5.0,0.0,77,280,22176.0,0.0
148500,1049,0,1055,2529,2,7,0.0,2.0,0.0,87,38,38280.0,0.0
149000,657,0,1352,10800,2,5,0.0,5.0,0.0,49,315,35280.0,0.0
137900,414,1,1456,2349,2,6,3.0,3.0,0.0,87,28,38280.0,0.0
324000,1181,1,1719,10846,2,8,4.0,5.0,0.0,103,152,48719.0,3438.0
98000,1514,0,864,5604,2,5,0.0,3.0,0.0,35,96,0.0,864.0
103400,1040,1,987,1680,1,6,0.0,3.0,359.0,83,52,21912.0,0.0
94000,216,0,1020,6342,2,5,0.0,4.0,0.0,-15,176,0.0,0.0
